Team    Wins    Points  P% RW   ROW S/OW    GF  GA  GF/GP   GA/GP   PP% PK% NetPP%  NetPK%  Shots/GP    SA/GP   FOW%
Chicago Blackhawks,36,77,0.802,25,30,6,149,97,3.1,2.02,16.7,87.2,13.3,90.8,31.1,26.2,50.8
Pittsburgh Penguins,36,72,0.75,31,33,3,162,119,3.38,2.48,24.7,79.6,22.9,80.8,30,29.2,51.5
Anaheim Ducks,30,66,0.688,23,24,6,134,115,2.79,2.4,21.5,81.5,17.8,84.6,28.1,27.9,47.5
Montréal Canadiens,29,63,0.656,24,26,3,146,124,3.04,2.58,20.7,79.8,19.7,79.8,30.6,26.9,49.8
Boston Bruins,28,62,0.646,23,24,4,127,106,2.65,2.21,14.8,87.1,13.1,90.2,32.4,28.6,56.4
St. Louis Blues,29,60,0.625,20,24,5,124,114,2.58,2.38,19.5,84.7,16.1,86.7,27.8,24.2,50.7
Los Angeles Kings,27,59,0.615,24,25,2,131,114,2.73,2.38,19.9,83.2,19.3,84.5,29.8,25,52
Vancouver Canucks,26,59,0.615,20,21,5,122,115,2.54,2.4,15.8,84,13.9,85.2,28.1,28.9,47.6
Washington Capitals,27,57,0.594,20,24,3,146,130,3.04,2.71,26.8,77.9,24.4,79.8,28.1,32.3,50.8
Toronto Maple Leafs,26,57,0.594,24,26,0,145,128,3.02,2.67,18.7,87.9,16.3,88.5,26.3,32.3,50.1
San Jose Sharks,25,57,0.594,17,17,8,116,112,2.42,2.33,20.1,85,17.8,87.1,31.8,29,53.4
New York Rangers,26,56,0.583,18,22,4,126,108,2.63,2.25,15.7,81.1,13.1,84.5,30.9,28.2,50
Ottawa Senators,25,56,0.583,19,21,4,112,100,2.33,2.08,15.9,88,15.3,89.2,33.1,31.3,49.2
Detroit Red Wings,24,56,0.583,20,22,2,122,110,2.54,2.29,18.4,81.7,15.7,83.5,30.1,27.5,50.8
Minnesota Wild,26,55,0.573,19,22,4,118,125,2.46,2.6,17.9,80.7,17.9,81.5,28.8,27.1,52.5
New York Islanders,24,55,0.573,18,20,4,135,136,2.81,2.83,19.9,80.3,19.9,81.7,30.9,28.2,49.7
Columbus Blue Jackets,24,55,0.573,14,19,5,115,115,2.4,2.4,14.2,82.6,12.9,84.7,26.7,29.9,52
Winnipeg Jets,24,51,0.531,18,22,2,126,141,2.63,2.94,13.8,79.7,11.7,80.4,28.9,29.7,48.9
Phoenix Coyotes,21,51,0.531,16,17,4,121,125,2.52,2.6,14.8,79.9,13.6,81.1,30.9,30.6,52
Philadelphia Flyers,23,49,0.51,20,22,1,132,139,2.75,2.9,21.6,85.9,19.9,87,29,28.6,48.5
Dallas Stars,22,48,0.5,18,20,2,128,141,2.67,2.94,17,81,15.2,82.1,26.3,31,47.2
Buffalo Sabres,21,48,0.5,13,14,7,118,139,2.46,2.9,14.1,79.2,9.8,83.2,27.9,33.5,46.2
New Jersey Devils,19,48,0.5,16,17,2,110,122,2.29,2.54,15.3,81.1,11.9,87.6,28.4,23.1,48.2
Edmonton Oilers,19,45,0.469,15,17,2,123,131,2.56,2.73,20.1,83.4,19.5,85.7,26.8,32.8,46.1
Carolina Hurricanes,19,42,0.438,17,18,1,127,159,2.65,3.31,14.6,78.3,12.1,80.1,32.2,32.2,50.2
Calgary Flames,19,42,0.438,17,19,0,128,157,2.67,3.27,20,81.5,18.7,85.4,26.9,29.4,46.6
Nashville Predators,16,41,0.427,11,14,2,109,133,2.27,2.77,17.1,75.5,14.3,76.3,25.9,27.8,49.7
Tampa Bay Lightning,18,40,0.417,16,17,1,147,147,3.06,3.06,19,80.7,16.6,80.7,27.6,30.2,51.2
Colorado Avalanche,16,39,0.406,11,14,2,114,150,2.38,3.13,15,80.3,12.9,82,29.5,31.4,51.1
Florida Panthers,15,36,0.375,11,12,3,109,170,2.27,3.54,20.4,74.2,19.7,76.8,29.2,31.3,49.4
